,date,state,city_or_county,address,n_killed,n_injured,latitude,longitude,total,full_address,month_name,month_number
808,2016-05-30,Maryland,Baltimore,500 block of East 43rd Street,0,5,39.3412,-76.609,5,"500 block of East 43rd Street, Baltimore, Maryland",May,5
807,2016-05-31,Illinois,Chicago,3300 block of West Huron Street,0,4,41.8937,-87.7089,4,"3300 block of West Huron Street, Chicago, Illinois",May,5
806,2016-05-31,Indiana,Fort Wayne,6600 block of Pawawna Drive,0,4,41.1059,-85.0571,4,"6600 block of Pawawna Drive, Fort Wayne, Indiana",May,5
805,2016-06-04,Colorado,Denver,3600 block of Hudson Street,3,1,39.7674,-104.923,4,"3600 block of Hudson Street, Denver, Colorado",June,6
804,2016-06-04,Alabama,Eufaula,600 block of Stevens St,1,3,31.8841,-85.1496,4,"600 block of Stevens St, Eufaula, Alabama",June,6
803,2016-06-05,Florida,Cape Coral,2600 block of Skyline Boulevard S,3,3,26.6037,-81.9908,6,"2600 block of Skyline Boulevard S, Cape Coral, Florida",June,6
802,2016-06-05,Arizona,Phoenix,8152 N Black Canyon Hwy,2,4,33.5558,-112.113,6,"8152 N Black Canyon Hwy, Phoenix, Arizona",June,6
801,2016-06-05,New York,Brooklyn,Mermaid Ave and 16th St.,0,4,40.5767,-73.9837,4,"Mermaid Ave and 16th St., Brooklyn, New York",June,6
800,2016-06-05,Minnesota,Minneapolis,8th and Humboldt Avenue N.,0,4,44.9863,-93.2982,4,"8th and Humboldt Avenue N., Minneapolis, Minnesota",June,6
799,2016-06-06,California,Visalia,33 60 South Fairway Street,0,4,36.3306,-119.311,4,"33 60 South Fairway Street, Visalia, California",June,6
798,2016-06-08,Massachusetts,Boston,66 Washington St,1,3,42.3735,-71.0661,4,"66 Washington St, Boston, Massachusetts",June,6
797,2016-06-08,District of Columbia,Washington,North Capitol Street and New York Avenue NW,0,4,38.8964,-77.0403,4,"North Capitol Street and New York Avenue NW, Washington, District of Columbia",June,6
796,2016-06-09,Florida,Fort Walton Beach,Landview Drive,0,4,30.462,-86.649,4,"Landview Drive, Fort Walton Beach, Florida",June,6
795,2016-06-11,New Mexico,Roswell,2300 block of Davis Ave,5,0,33.4196,-104.518,5,"2300 block of Davis Ave, Roswell, New Mexico",June,6
